ID,Order,Group,Heat,Topic,PrePresentation,NASATLX_1,NASATLX_2,NASATLX_3,NASATLX_4,NASATLX_5,NASATLX_6,Presentation_Quality_1,Presentation_Quality_2,Presentation_Quality_3,Presentation_Quality_4,Presentation_Quality_5,Presentation_Quality_6,Presentation_Quality_7,Presentation_Quality_8,Donations,Social_Connectedness_1,Social_Connectedness_2,Thermal_1,Thermal_2,Thermal_3,AttrakDiff_1,AttrakDiff_2,AttrakDiff_3,AttrakDiff_4,AttrakDiff_5,AttrakDiff_6,AttrakDiff_7,AttrakDiff_8,AttrakDiff_9,AttrakDiff_10,AttrakDiff_11,AttrakDiff_12,AttrakDiff_13,AttrakDiff_14,AttrakDiff_15,AttrakDiff_16,AttrakDiff_17,AttrakDiff_18,AttrakDiff_19,AttrakDiff_20,AttrakDiff_21,AttrakDiff_22,AttrakDiff_23,AttrakDiff_24,AttrakDiff_25,AttrakDiff_26,AttrakDiff_27,AttrakDiff_28,Anxiety_1,Anxiety_2,Anxiety_3,PRCS_1,PRCS_2,PRCS_3,PRCS_4,PRCS_5,PRCS_6,PRCS_7,PRCS_8,PRCS_9,Age,Gender,Degree,Proficiency
P02,2,B,0,1,4,20,12,9,15,19,19,5,4,5,6,5,7,6,4,2,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,2,2,2,2,1,2,2,2,29,1,4,1
P03,1,A,0,2,6,17,4,7,19,15,5,6,6,4,5,4,5,4,5,3,3,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,2,1,2,2,1,1,2,1,22,2,2,1
P04,2,B,0,2,7,17,4,14,6,16,19,5,6,5,5,7,7,1,5,3,1,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,1,2,2,2,2,2,1,2,28,2,4,1
P05,1,A,0,1,3,14,4,16,12,7,4,5,2,3,5,1,1,1,3,2,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,2,1,2,2,2,2,2,2,28,1,4,1
P06,2,B,0,1,5,14,4,5,9,14,8,5,4,2,4,3,6,3,4,3,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,2,32,2,4,1
P07,1,A,0,2,3,15,7,11,4,13,14,2,3,6,3,2,3,2,6,0,4,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,2,2,2,2,2,2,2,30,1,4,2
P08,2,B,0,2,5,7,6,14,13,16,11,4,4,4,5,4,6,5,5,3,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,1,2,2,1,2,1,2,26,2,4,1
P09,1,A,0,1,4,13,4,7,11,14,14,5,3,6,4,5,7,3,3,1,3,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,2,2,2,2,1,1,2,2,28,1,4,6
P10,2,B,0,1,3,10,9,12,14,21,8,7,6,6,5,5,5,5,6,3,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,1,1,1,1,1,1,1,1,1,24,2,2,1
P11,1,A,0,2,5,19,4,15,17,21,16,6,5,7,6,2,2,2,7,4,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,2,1,2,2,2,2,2,23,1,3,3
P12,2,B,0,2,5,13,5,12,11,12,14,4,3,5,3,3,2,3,5,1,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,2,1,1,2,1,2,1,1,1,22,1,3,1
P13,1,A,0,1,5,13,17,18,6,12,19,3,4,2,3,4,6,2,6,1,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,1,1,1,2,1,2,2,1,1,22,1,1,1
P14,2,B,0,1,4,7,6,6,16,17,5,6,5,3,6,6,6,5,4,2,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,1,2,1,2,22,2,3,2
P15,1,A,0,2,4,13,9,14,7,14,11,4,3,4,5,5,4,4,5,2,3,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,2,1,2,2,2,2,1,2,27,2,4,1
P16,2,B,0,2,3,20,20,11,7,7,13,4,3,5,3,3,3,3,6,5,2,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,1,2,1,2,1,1,1,1,1,55,2,3,1
P17,1,A,0,1,2,13,3,10,5,6,6,3,3,5,4,3,4,5,5,2,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,2,1,1,2,1,1,2,1,1,24,2,2,1
P18,2,B,0,1,5,16,2,6,13,14,5,5,4,4,4,5,6,3,4,2,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,1,2,2,2,1,1,1,2,27,2,4,1
P19,1,A,0,2,4,10,1,15,6,5,11,3,5,4,3,5,4,6,6,2,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,1,2,2,2,2,1,2,25,2,3,1
P20,2,B,0,2,4,17,10,16,15,14,6,4,5,4,4,4,5,2,3,3,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,1,2,1,2,2,2,1,2,27,2,3,1
P21,1,A,0,1,2,18,3,18,19,19,11,5,7,7,5,5,7,5,7,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,1,1,1,2,2,1,2,1,2,24,2,3,2
P02,1,B,1,2,6,17,8,8,20,14,13,6,5,4,5,4,5,4,3,3,3,1,5,4,6,0,2,2,2,-1,3,2,1,1,1,1,1,1,2,2,1,-2,2,1,-3,2,-1,0,3,0,2,1,2,4,3,3,1,2,2,2,2,1,2,2,2,29,1,4,1
